Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_255.jpg;0;0;1;0;99.66999;85.58897;0.0002344758;56.67072;1.342848E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_295.jpg;0;0;0;0;99.66999;85.58897;0.0002344452;56.67072;1.445088E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_358.jpg;0;0;0;0;99.66999;85.58897;0.0002343993;56.67072;1.598448E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_402.jpg;0;0;0;0;99.66999;85.58897;0.0002343687;56.67072;1.700688E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_466.jpg;0;0;0;0;99.66999;85.58897;0.0002343381;56.67072;1.802922E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_508.jpg;0;0;0;0;99.66999;85.58897;0.0002343381;56.67072;1.802922E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_573.jpg;0;0;0;0;99.66999;85.58897;0.0002343381;56.67072;1.802922E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_615.jpg;0;0;0;0;99.66999;85.58897;0.0002343381;56.67072;1.802922E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_684.jpg;0;0;0;0;99.66999;85.58897;0.0002343381;56.67072;1.802922E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_755.jpg;0;0;0;0;99.66999;85.58897;0.0002343687;56.67072;1.700688E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_826.jpg;0;0;0;0;99.66999;85.58897;0.0002344146;56.67072;1.547328E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_898.jpg;0;0;0;0;99.66999;85.58897;0.0002344758;56.67072;1.342848E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_49_970.jpg;0;0;0;0;99.66999;85.58897;0.000234537;56.67072;1.138367E-06
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_50_041.jpg;0;0;0;0;99.66999;85.58897;0.0002345829;56.67072;9.850132E-07
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_50_112.jpg;0;0;0;0;99.66999;85.58897;0.0002346441;56.67072;7.805327E-07
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_50_184.jpg;0;0;0;0;99.66999;85.58897;0.00023469;56.67072;6.271724E-07
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_50_257.jpg;0;0;0;0;99.66999;85.58897;0.0002347512;56.67072;4.22692E-07
C:\Users\oadam\Downloads\IMG\robocam_2025_04_08_03_52_50_331.jpg;0;0;0;0;99.66999;85.58897;0.0002349557;56.67072;4.839019E-07
